"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC00018;EC000157;EC00015;EC00016;EC00017;EC00078;EC00079;EC00032;EC00047;EC000622;EC000623;EC000688;EC000689;EC00029;EC000163;EC00037;EC00038;EC000654;EC000624;EC000500;EC000501
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC00019;EC00014;EC000417;EC000356;EC000291;EC00018;EC00015;EC00016;EC00017;EC000298;EC0001021;EC000261;EC000262;EC000883;EC000189;EC000509;EC000341;EC000342;EC000452;EC000453;EC000521;EC000522;EC000523;EC000524;EC00030;EC000148;EC000233;EC000234;EC000722;EC000923;EC000924;EC000602;EC000406;EC000483;EC00045;EC000922;EC00034;EC00035;EC000510;EC000511;EC000512;EC000513;EC000603;EC000672;EC00046;EC000449;EC00094;EC00032;EC000612;EC000600;EC000601;EC0001000;EC000164;EC000723;EC000241;EC000242;EC00068;EC00069;EC00072;EC000383;EC000618;EC000619;EC000442;EC000607;EC000608;EC000604;EC000605;EC000606;EC000609;EC000610;EC000247;EC000248;EC000249;EC000250;EC000611;EC000835;EC00059;EC00060;EC00061;EC00022;EC000860;EC000794
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC00018;EC000422;EC000178;EC000179;EC000158;EC00022;EC00077;EC00019;EC000235;EC000108;EC00028;EC00015;EC00016;EC00017
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC000872;EC000260;EC000896;EC000871;EC000897
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC000503;EC000504;EC00010;EC00011;EC000985;EC000590;EC000591;EC000231;EC000538;EC000438;EC000587;EC000456;EC000320;EC000574;EC000575;EC000576;EC0004;EC0005;EC000829;EC000280;EC000281;EC000227;EC000228;EC000229;EC000186;EC000187;EC000282;EC000283;EC000284;EC000729;EC000203;EC000588;EC000589;EC000427;EC000428;EC000457;EC000209;EC000210;EC000167;EC000168;EC0008;EC0009;EC000570;EC000571;EC000572;EC000573;EC000577;EC000578;EC000579;EC000580;EC000593;EC000594;EC000595;EC000581;EC000582;EC000540;EC000541;EC000542;EC000448;EC000109;EC000592;EC00030;EC000730;EC000558;EC000559
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC00047;EC00020
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00014;EC000120;EC000121
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC000825;EC00019;EC00014;EC000908;EC000909;EC000910;EC000864;EC000865;EC000391;EC000392;EC000393;EC00023;EC00024
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00065;EC00066;EC00067;EC000414;EC00014;EC000435;EC000436;EC000437;EC000134;EC000135;EC000136;EC000137;EC000138;EC000116;EC00047;EC000163;EC00020;EC000360;EC000269
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00018;EC00019;EC00014;EC00015;EC00016;EC00017;EC000352;EC000717;EC000718;EC000525;EC000526;EC000357;EC00059;EC00060;EC00061;EC000122;EC000123;EC000232;EC000630;EC000214;EC00050;EC000415;EC000416;EC00036;EC000125;EC000442;EC000848;EC00055;EC00056;EC00033;EC000218;EC00072;EC000225;EC000770;EC000477;EC000478;EC000119;EC00030;EC000252;EC000198;EC000596;EC00027
